start_coords,end_coords,reverse,
0_425_0,0_2140_600,false,
0_2140_600,0_2350_0,false,
0_2350_0,5880_3610_600,false,
5880_3610_600,5880_3400_0,false,
5840_3400_0,0_1720_-1400,false,
0_1720_-1400,0_1930_0,false,
0_1930_0,2960_1930_-1400,false,
2960_1930_-1400,2960_1720_0,false,
2960_1720_0,5880_3400_600,false,
5880_3400_600,5880_3610_0,false,
5880_3610_0,0_2350_600,false,
0_2350_600,0_2140_0,false,
0_2140_0,2960_1720_-1400,false,
2960_1720_-1400,2960_1930_0,false,
2960_1930_0,0_1930_-1400,false,
0_1930_-1400,0_1720_0,false,
2,
2,
